chr11	18665749	18665847	0.036	-0.111176	17	0.43118	0.54235	DMR_5	hypomethylated	chr11	18665749	18665892	0.00082	-0.228800	10	0.3012	0.53	DMR_5	hypomethylated	98
chr15	40965484	40965554	0.00023	0.223115	13	0.88138	0.65827	DMR_10	hypermethylated	chr15	40965484	40965554	2.2e-13	0.318038	13	0.97631	0.65827	DMR_14	hypermethylated	70
chr19	19543571	19544027	8.2e-11	-0.341588	17	0.54518	0.88676	DMR_14	hypomethylated	chr19	19543571	19544505	9.6e-38	-0.470978	45	0.36013	0.83111	DMR_18	hypomethylated	456
chr19	19544050	19544443	0.021	-0.221529	17	0.51494	0.73647	DMR_15	hypomethylated	chr19	19543571	19544505	9.6e-38	-0.470978	45	0.36013	0.83111	DMR_18	hypomethylated	393
chr20	10379271	10379898	1.4e-13	-0.206986	37	0.38362	0.59061	DMR_16	hypomethylated	chr20	10379108	10380070	5e-36	-0.385781	48	0.26917	0.65495	DMR_20	hypomethylated	627
chr4	26795550	26796593	1.5e-08	-0.218429	35	0.46543	0.68386	DMR_20	hypomethylated	chr4	26794868	26796593	8.9e-39	-0.415878	49	0.29453	0.71041	DMR_37	hypomethylated	1043
chr4	30435596	30435666	0.00023	0.223115	13	0.88138	0.65827	DMR_21	hypermethylated	chr4	30435596	30435666	2.2e-13	0.318346	13	0.97662	0.65827	DMR_39	hypermethylated	70
chr4	33606868	33608576	2.8e-13	-0.136703	123	0.5525	0.68921	DMR_22	hypomethylated	chr4	33606868	33608772	5e-88	-0.382625	88	0.24164	0.62426	DMR_40	hypomethylated	1708
chr4	36208537	36209325	0.0043	-0.176567	30	0.55727	0.73383	DMR_23	hypomethylated	chr4	36208839	36210191	2.5e-46	-0.472373	51	0.31027	0.78265	DMR_41	hypomethylated	486
chr4	36209419	36210191	5.4e-09	-0.323237	19	0.53084	0.85408	DMR_24	hypomethylated	chr4	36208839	36210191	2.5e-46	-0.472373	51	0.31027	0.78265	DMR_41	hypomethylated	772
chr4	49122953	49123023	0.00023	0.222923	13	0.88062	0.65769	DMR_25	hypermethylated	chr4	49122953	49123023	2.2e-13	0.318462	13	0.97615	0.65769	DMR_44	hypermethylated	70
chr4	50966939	50967355	5.9e-15	-0.332900	20	0.5651	0.898	DMR_26	hypomethylated	chr4	50966939	50967355	1.3e-23	-0.533500	22	0.36264	0.89614	DMR_48	hypomethylated	416
chr4	50969526	50970044	0.0077	-0.257500	12	0.63667	0.89417	DMR_27	hypomethylated	chr4	50969939	50970105	3.3e-12	-0.498269	13	0.39615	0.89442	DMR_51	hypomethylated	105
chr7	60569930	60570264	0.0073	-0.165633	15	0.67587	0.8415	DMR_32	hypomethylated	chr7	60570051	60570264	0.038	-0.202350	10	0.6124	0.81475	DMR_76	hypomethylated	213
chr8	53725993	53726063	0.00038	0.222769	13	0.88046	0.65769	DMR_34	hypermethylated	chr8	53725993	53726063	2.1e-13	0.318154	13	0.97585	0.65769	DMR_82	hypermethylated	70
chr9	53005255	53005469	1.9e-10	0.224833	12	0.469	0.24417	DMR_35	hypermethylated	chr9	53005255	53005469	1.4e-11	0.272167	12	0.51633	0.24417	DMR_86	hypermethylated	214
chrUn_KN149690v1	104860	106276	4.8e-17	-0.250790	62	0.553	0.80379	DMR_36	hypomethylated	chrUn_KN149690v1	104860	105130	5e-08	-0.359176	17	0.52494	0.88412	DMR_87	hypomethylated	270
chrUn_KN149690v1	104860	106276	4.8e-17	-0.250790	62	0.553	0.80379	DMR_36	hypomethylated	chrUn_KN149690v1	105275	106276	1.5e-46	-0.491160	50	0.29404	0.7852	DMR_88	hypomethylated	1001
chrUn_KN150210v1	5668	5766	0.036	-0.111176	17	0.43118	0.54235	DMR_37	hypomethylated	chrUn_KN150210v1	5668	5811	0.00082	-0.228800	10	0.3012	0.53	DMR_92	hypomethylated	98
